Name,X,Y,observation_mode
12,-31.64373016357422,-18.391033172607422,queue
12,-31.461381912231445,-18.25702667236328,queue
12,-30.957231521606445,-17.857704162597656,queue
12,-30.195653915405273,-17.19709014892578,queue
12,-29.240983963012695,-16.279218673706055,queue
12,-28.157608032226562,-15.108122825622559,merge
12,-27.009851455688477,-13.687835693359375,merge
12,-25.86210823059082,-12.02238655090332,merge
12,-24.77872657775879,-10.115808486938477,merge
12,-23.824064254760742,-7.972132205963135,drive
12,-23.062484741210938,-5.5953898429870605,drive
12,-22.558334350585938,-2.9896140098571777,drive
12,-22.3759765625,-0.15883615612983704,drive
12,-22.48876190185547,2.741507053375244,drive
12,-22.80058479309082,5.539608955383301,drive
12,-23.271636962890625,8.206888198852539,drive
12,-23.86210823059082,10.714757919311523,drive
12,-24.532196044921875,13.034632682800293,drive
12,-25.242088317871094,15.137930870056152,drive
12,-25.951982498168945,16.996068954467773,drive
12,-26.622068405151367,18.580459594726562,drive
12,-27.212539672851562,19.86252212524414,drive
12,-27.683591842651367,20.813671112060547,drive
12,-27.99541473388672,21.405323028564453,drive
12,-28.10820770263672,21.6088924407959,drive
13,-31.64373016357422,-18.391033172607422,queue
13,-31.461381912231445,-18.25702667236328,queue
13,-30.957231521606445,-17.857704162597656,queue
13,-30.195653915405273,-17.19709014892578,queue
13,-29.240983963012695,-16.279218673706055,queue
13,-28.157608032226562,-15.108122825622559,merge
13,-27.009851455688477,-13.687835693359375,merge
13,-25.86210823059082,-12.02238655090332,merge
13,-24.77872657775879,-10.115808486938477,merge
13,-23.824064254760742,-7.972132205963135,drive
13,-23.062484741210938,-5.5953898429870605,drive
13,-22.558334350585938,-2.9896140098571777,drive
13,-22.3759765625,-0.15883615612983704,drive
13,-21.933271408081055,5.010425567626953,drive
13,-20.709312438964844,9.320313453674316,drive
13,-18.8603572845459,12.848952293395996,drive
13,-16.54265594482422,15.674467086791992,drive
13,-13.912450790405273,17.874984741210938,drive
13,-11.125995635986328,19.528627395629883,drive
13,-8.339540481567383,20.713523864746094,drive
13,-5.709336280822754,21.507789611816406,drive
13,-3.391632318496704,21.989561080932617,drive
13,-1.542676329612732,22.236953735351562,drive
13,-0.3187209963798523,22.32809829711914,drive
13,0.12398353964090347,22.34112548828125,drive
13,2.58341121673584,22.523479461669922,drive
13,4.9467339515686035,23.027626037597656,drive
13,7.191509246826172,23.78921127319336,drive
13,9.295289039611816,24.743879318237305,drive
13,11.235627174377441,25.827259063720703,drive
13,12.990078926086426,26.974998474121094,drive
13,14.536198616027832,28.122739791870117,drive
13,15.851536750793457,29.20612144470215,drive
13,16.913652420043945,30.160789489746094,drive
13,17.700098037719727,30.922374725341797,drive
13,18.188425064086914,31.42652130126953,drive
13,18.356191635131836,31.608871459960938,drive
14,-28.10820198059082,-21.926563262939453,queue
14,-27.89703369140625,-21.784719467163086,queue
14,-27.31322479248047,-21.35580062866211,queue
